,nb_init_infected,density_ref_contact,init_all_ages_successful_contact_rate_human,init_all_ages_factor_contact_rate_asymptomatic,init_all_ages_proportion_asymptomatic,init_all_ages_proportion_hospitalisation,init_all_ages_proportion_icu,init_all_ages_proportion_dead_symptomatic,nb_dead,nb_recovered,nb_susceptibles,nb_infectious,nb_infected,step_max_peak,step_end_epidemiology,cluster
0,2345,140.15625,0.70271875,0.54678125,0.14134375,0.92103125,0.79628125,0.67153125,870646,143365,0,0,0,184,1248,3
1,49219,140.15625,0.70271875,0.54678125,0.14134375,0.92103125,0.79628125,0.67153125,870737,143274,0,0,0,138,1248,3
2,2345,32.96875,0.70271875,0.54678125,0.14134375,0.92103125,0.79628125,0.67153125,870506,143505,0,0,0,251,1488,0
3,2345,140.15625,0.39084375,0.54678125,0.14134375,0.92103125,0.79628125,0.67153125,870754,143257,0,0,0,200,1296,0
4,2345,140.15625,0.70271875,0.95221875,0.14134375,0.92103125,0.79628125,0.67153125,870681,143330,0,0,0,159,1416,0
5,2345,140.15625,0.70271875,0.54678125,0.45321875,0.92103125,0.79628125,0.67153125,554499,459512,0,0,0,179,1272,0
6,2345,140.15625,0.70271875,0.54678125,0.14134375,0.98340625,0.79628125,0.67153125,870634,143377,0,0,0,180,1368,0
7,2345,140.15625,0.70271875,0.54678125,0.14134375,0.92103125,0.98340625,0.67153125,870708,143303,0,0,0,178,1248,3
8,2345,140.15625,0.70271875,0.54678125,0.14134375,0.92103125,0.79628125,0.11015625,143868,870143,0,0,0,177,1200,5
9,2345,32.96875,0.39084375,0.95221875,0.45321875,0.98340625,0.98340625,0.11015625,91639,922372,0,0,0,254,1272,2
10,49219,140.15625,0.39084375,0.95221875,0.45321875,0.98340625,0.98340625,0.11015625,91592,922419,0,0,0,137,1200,5
11,49219,32.96875,0.70271875,0.95221875,0.45321875,0.98340625,0.98340625,0.11015625,91596,922415,0,0,0,162,1200,5
12,49219,32.96875,0.39084375,0.54678125,0.45321875,0.98340625,0.98340625,0.11015625,91608,922403,0,0,0,226,1320,2
13,49219,32.96875,0.39084375,0.95221875,0.14134375,0.98340625,0.98340625,0.11015625,143875,870136,0,0,0,201,1296,2
14,49219,32.96875,0.39084375,0.95221875,0.45321875,0.92103125,0.98340625,0.11015625,91631,922380,0,0,0,200,1392,6
15,49219,32.96875,0.39084375,0.95221875,0.45321875,0.98340625,0.79628125,0.11015625,91639,922372,0,0,0,201,1248,2
16,49219,32.96875,0.39084375,0.95221875,0.45321875,0.98340625,0.98340625,0.67153125,554390,459621,0,0,0,201,1272,0
17,49219,32.96875,0.39084375,0.95221875,0.45321875,0.98340625,0.98340625,0.11015625,91615,922396,0,0,0,203,1080,5
18,27344,385.15625,0.20371875,0.04778125,0.64034375,0.42203125,0.29728125,0.17253125,94399,919612,0,0,0,234,1344,2
19,24219,385.15625,0.20371875,0.04778125,0.64034375,0.42203125,0.29728125,0.17253125,94371,919640,0,0,0,228,1584,1
20,27344,277.96875,0.20371875,0.04778125,0.64034375,0.42203125,0.29728125,0.17253125,94327,919684,0,0,0,250,1296,2
21,27344,385.15625,0.88984375,0.04778125,0.64034375,0.42203125,0.29728125,0.17253125,94465,919546,0,0,0,179,1248,6
22,27344,385.15625,0.20371875,0.45321875,0.64034375,0.42203125,0.29728125,0.17253125,94286,919725,0,0,0,159,1176,5
23,27344,385.15625,0.20371875,0.04778125,0.95221875,0.42203125,0.29728125,0.17253125,12573,1001438,0,0,0,278,1248,2
24,27344,385.15625,0.20371875,0.04778125,0.64034375,0.48440625,0.29728125,0.17253125,94421,919590,0,0,0,230,1656,1
25,27344,385.15625,0.20371875,0.04778125,0.64034375,0.42203125,0.48440625,0.17253125,94323,919688,0,0,0,225,1320,2
26,27344,385.15625,0.20371875,0.04778125,0.64034375,0.42203125,0.29728125,0.60915625,333522,680489,0,0,0,226,1248,2
27,27344,277.96875,0.88984375,0.45321875,0.95221875,0.48440625,0.48440625,0.60915625,44361,969650,0,0,0,133,1152,5
28,24219,385.15625,0.88984375,0.45321875,0.95221875,0.48440625,0.48440625,0.60915625,44227,969784,0,0,0,128,1128,5
29,24219,277.96875,0.20371875,0.45321875,0.95221875,0.48440625,0.48440625,0.60915625,44310,969701,0,0,0,179,1272,6
30,24219,277.96875,0.88984375,0.04778125,0.95221875,0.48440625,0.48440625,0.60915625,44398,969613,0,0,0,209,1248,2
31,24219,277.96875,0.88984375,0.45321875,0.64034375,0.48440625,0.48440625,0.60915625,333325,680686,0,0,0,136,1488,1
32,24219,277.96875,0.88984375,0.45321875,0.95221875,0.42203125,0.48440625,0.60915625,44269,969742,0,0,0,133,1200,5
33,24219,277.96875,0.88984375,0.45321875,0.95221875,0.48440625,0.29728125,0.60915625,44309,969702,0,0,0,134,1152,5
34,24219,277.96875,0.88984375,0.45321875,0.95221875,0.48440625,0.48440625,0.17253125,12537,1001474,0,0,0,131,1248,5
35,24219,277.96875,0.88984375,0.45321875,0.95221875,0.48440625,0.48440625,0.60915625,44154,969857,0,0,0,136,1392,6
36,39844,17.65625,0.95221875,0.79628125,0.88984375,0.17253125,0.54678125,0.42203125,70667,943344,0,0,0,205,1320,2
37,11720,17.65625,0.95221875,0.79628125,0.88984375,0.17253125,0.54678125,0.42203125,70618,943393,0,0,0,226,1272,2
38,39844,400.46875,0.95221875,0.79628125,0.88984375,0.17253125,0.54678125,0.42203125,70644,943367,0,0,0,106,1152,5
39,39844,17.65625,0.64034375,0.79628125,0.88984375,0.17253125,0.54678125,0.42203125,70684,943327,0,0,0,212,1248,2
40,39844,17.65625,0.95221875,0.20371875,0.88984375,0.17253125,0.54678125,0.42203125,70579,943432,0,0,0,273,1224,2
41,39844,17.65625,0.95221875,0.79628125,0.20371875,0.17253125,0.54678125,0.42203125,511159,502852,0,0,0,182,1224,3
42,39844,17.65625,0.95221875,0.79628125,0.88984375,0.73390625,0.54678125,0.42203125,70701,943310,0,0,0,206,1512,1
43,39844,17.65625,0.95221875,0.79628125,0.88984375,0.17253125,0.23490625,0.42203125,70817,943194,0,0,0,204,1176,5
44,39844,17.65625,0.95221875,0.79628125,0.88984375,0.17253125,0.54678125,0.35965625,60306,953705,0,0,0,186,1416,1
45,39844,400.46875,0.64034375,0.20371875,0.20371875,0.73390625,0.23490625,0.35965625,435669,578342,0,0,0,136,1128,3
46,11720,17.65625,0.64034375,0.20371875,0.20371875,0.73390625,0.23490625,0.35965625,435639,578372,0,0,0,300,1296,2
47,11720,400.46875,0.95221875,0.20371875,0.20371875,0.73390625,0.23490625,0.35965625,435613,578398,0,0,0,154,1272,6
48,11720,400.46875,0.64034375,0.79628125,0.20371875,0.73390625,0.23490625,0.35965625,435543,578468,0,0,0,125,1272,6
49,11720,400.46875,0.64034375,0.20371875,0.88984375,0.73390625,0.23490625,0.35965625,60248,953763,0,0,0,159,1272,6
50,11720,400.46875,0.64034375,0.20371875,0.20371875,0.17253125,0.23490625,0.35965625,435611,578400,0,0,0,146,1176,3
51,11720,400.46875,0.64034375,0.20371875,0.20371875,0.73390625,0.54678125,0.35965625,435572,578439,0,0,0,159,1200,3
52,11720,400.46875,0.64034375,0.20371875,0.20371875,0.73390625,0.23490625,0.42203125,511143,502868,0,0,0,160,1104,3
53,11720,400.46875,0.64034375,0.20371875,0.20371875,0.73390625,0.23490625,0.35965625,435600,578411,0,0,0,153,1464,1
54,14844,262.65625,0.45321875,0.29728125,0.39084375,0.67153125,0.04778125,0.92103125,617756,396255,0,0,0,177,1296,0
55,36719,262.65625,0.45321875,0.29728125,0.39084375,0.67153125,0.04778125,0.92103125,617601,396410,0,0,0,155,1224,3
56,14844,155.46875,0.45321875,0.29728125,0.39084375,0.67153125,0.04778125,0.92103125,617878,396133,0,0,0,180,1584,1
57,14844,262.65625,0.14134375,0.29728125,0.39084375,0.67153125,0.04778125,0.92103125,617772,396239,0,0,0,227,1248,0
58,14844,262.65625,0.45321875,0.70271875,0.39084375,0.67153125,0.04778125,0.92103125,617431,396580,0,0,0,138,1248,3
59,14844,262.65625,0.45321875,0.29728125,0.70271875,0.67153125,0.04778125,0.92103125,301451,712560,0,0,0,160,1200,5
60,14844,262.65625,0.45321875,0.29728125,0.39084375,0.23490625,0.04778125,0.92103125,617730,396281,0,0,0,169,1128,3
61,14844,262.65625,0.45321875,0.29728125,0.39084375,0.67153125,0.73390625,0.92103125,617552,396459,0,0,0,160,1416,0
62,14844,262.65625,0.45321875,0.29728125,0.39084375,0.67153125,0.04778125,0.85865625,617609,396402,0,0,0,159,1368,0
63,14844,155.46875,0.14134375,0.70271875,0.70271875,0.23490625,0.73390625,0.85865625,301432,712579,0,0,0,205,1368,2
64,36719,262.65625,0.14134375,0.70271875,0.70271875,0.23490625,0.73390625,0.85865625,301510,712501,0,0,0,175,1200,5
65,36719,155.46875,0.45321875,0.70271875,0.70271875,0.23490625,0.73390625,0.85865625,301364,712647,0,0,0,157,1272,6
66,36719,155.46875,0.14134375,0.29728125,0.70271875,0.23490625,0.73390625,0.85865625,301526,712485,0,0,0,229,1272,2
67,36719,155.46875,0.14134375,0.70271875,0.39084375,0.23490625,0.73390625,0.85865625,617835,396176,0,0,0,183,1416,0
68,36719,155.46875,0.14134375,0.70271875,0.70271875,0.67153125,0.73390625,0.85865625,301337,712674,0,0,0,182,1320,6
69,36719,155.46875,0.14134375,0.70271875,0.70271875,0.23490625,0.04778125,0.85865625,301293,712718,0,0,0,188,1368,6
70,36719,155.46875,0.14134375,0.70271875,0.70271875,0.23490625,0.73390625,0.92103125,301365,712646,0,0,0,202,1488,1
71,36719,155.46875,0.14134375,0.70271875,0.70271875,0.23490625,0.73390625,0.85865625,301598,712413,0,0,0,200,1200,5
72,21094,78.90625,0.07896875,0.42203125,0.26609375,0.79628125,0.67153125,0.29728125,331894,682117,0,0,0,327,1464,4
73,5470,78.90625,0.07896875,0.42203125,0.26609375,0.79628125,0.67153125,0.29728125,331855,682156,0,0,0,350,1416,4
74,21094,339.21875,0.07896875,0.42203125,0.26609375,0.79628125,0.67153125,0.29728125,331941,682070,0,0,0,204,1176,5
75,21094,78.90625,0.51559375,0.42203125,0.26609375,0.79628125,0.67153125,0.29728125,331753,682258,0,0,0,183,1272,6
76,21094,78.90625,0.07896875,0.57796875,0.26609375,0.79628125,0.67153125,0.29728125,331931,682080,0,0,0,279,1392,2
77,21094,78.90625,0.07896875,0.42203125,0.07896875,0.79628125,0.67153125,0.29728125,416424,597587,0,0,0,303,1464,4
78,21094,78.90625,0.07896875,0.42203125,0.26609375,0.35965625,0.67153125,0.29728125,331851,682160,0,0,0,281,1272,2
79,21094,78.90625,0.07896875,0.42203125,0.26609375,0.79628125,0.60915625,0.29728125,331961,682050,0,0,0,304,1368,2
80,21094,78.90625,0.07896875,0.42203125,0.26609375,0.79628125,0.67153125,0.98340625,744052,269959,0,0,0,305,1320,0
81,21094,339.21875,0.51559375,0.57796875,0.07896875,0.35965625,0.60915625,0.98340625,933972,80039,0,0,0,133,1176,3
82,5470,78.90625,0.51559375,0.57796875,0.07896875,0.35965625,0.60915625,0.98340625,933862,80149,0,0,0,202,1320,0
83,5470,339.21875,0.07896875,0.57796875,0.07896875,0.35965625,0.60915625,0.98340625,933877,80134,0,0,0,224,1224,3
84,5470,339.21875,0.51559375,0.42203125,0.07896875,0.35965625,0.60915625,0.98340625,933853,80158,0,0,0,158,1416,0
85,5470,339.21875,0.51559375,0.57796875,0.26609375,0.35965625,0.60915625,0.98340625,744253,269758,0,0,0,154,1152,3
86,5470,339.21875,0.51559375,0.57796875,0.07896875,0.79628125,0.60915625,0.98340625,934045,79966,0,0,0,153,1224,3
87,5470,339.21875,0.51559375,0.57796875,0.07896875,0.35965625,0.67153125,0.98340625,933949,80062,0,0,0,151,1272,3
88,5470,339.21875,0.51559375,0.57796875,0.07896875,0.35965625,0.60915625,0.29728125,416445,597566,0,0,0,155,1344,6
89,5470,339.21875,0.51559375,0.57796875,0.07896875,0.35965625,0.60915625,0.98340625,933975,80036,0,0,0,153,1128,3
90,46094,323.90625,0.57796875,0.92103125,0.76509375,0.29728125,0.17253125,0.79628125,238125,775886,0,0,0,114,1176,5
91,30469,323.90625,0.57796875,0.92103125,0.76509375,0.29728125,0.17253125,0.79628125,238111,775900,0,0,0,128,1152,5
92,46094,94.21875,0.57796875,0.92103125,0.76509375,0.29728125,0.17253125,0.79628125,238126,775885,0,0,0,136,1200,5
93,46094,323.90625,0.01659375,0.92103125,0.76509375,0.29728125,0.17253125,0.79628125,238562,775449,0,0,0,258,1224,2
94,46094,323.90625,0.57796875,0.07896875,0.76509375,0.29728125,0.17253125,0.79628125,238073,775938,0,0,0,181,1272,6
95,46094,323.90625,0.57796875,0.92103125,0.57796875,0.29728125,0.17253125,0.79628125,428129,585882,0,0,0,111,1200,3
96,46094,323.90625,0.57796875,0.92103125,0.76509375,0.85865625,0.17253125,0.79628125,238188,775823,0,0,0,114,1128,5
97,46094,323.90625,0.57796875,0.92103125,0.76509375,0.29728125,0.11015625,0.79628125,238283,775728,0,0,0,129,1200,5
98,46094,323.90625,0.57796875,0.92103125,0.76509375,0.29728125,0.17253125,0.48440625,172998,841013,0,0,0,113,1176,5
99,46094,94.21875,0.01659375,0.07896875,0.57796875,0.85865625,0.11015625,0.48440625,311188,702823,0,0,0,503,1656,4
100,30469,323.90625,0.01659375,0.07896875,0.57796875,0.85865625,0.11015625,0.48440625,310964,703047,0,0,0,418,1368,4
101,30469,94.21875,0.57796875,0.07896875,0.57796875,0.85865625,0.11015625,0.48440625,311037,702974,0,0,0,224,1392,2
102,30469,94.21875,0.01659375,0.92103125,0.57796875,0.85865625,0.11015625,0.48440625,310910,703101,0,0,0,377,1560,4
103,30469,94.21875,0.01659375,0.07896875,0.76509375,0.85865625,0.11015625,0.48440625,173000,841011,0,0,0,527,1680,4
104,30469,94.21875,0.01659375,0.07896875,0.57796875,0.29728125,0.11015625,0.48440625,311073,702938,0,0,0,503,1560,4
105,30469,94.21875,0.01659375,0.07896875,0.57796875,0.85865625,0.17253125,0.48440625,310994,703017,0,0,0,526,1608,4
106,30469,94.21875,0.01659375,0.07896875,0.57796875,0.85865625,0.11015625,0.79628125,427773,586238,0,0,0,527,1656,4
107,30469,94.21875,0.01659375,0.07896875,0.57796875,0.85865625,0.11015625,0.48440625,310975,703036,0,0,0,503,1560,4
108,33594,201.40625,0.32846875,0.17253125,0.51559375,0.04778125,0.92103125,0.54678125,403033,610978,0,0,0,202,1344,0
109,42969,201.40625,0.32846875,0.17253125,0.51559375,0.04778125,0.92103125,0.54678125,402970,611041,0,0,0,181,1176,5
110,33594,216.71875,0.32846875,0.17253125,0.51559375,0.04778125,0.92103125,0.54678125,402795,611216,0,0,0,200,1296,2
111,33594,201.40625,0.26609375,0.17253125,0.51559375,0.04778125,0.92103125,0.54678125,402883,611128,0,0,0,207,1272,2
112,33594,201.40625,0.32846875,0.32846875,0.51559375,0.04778125,0.92103125,0.54678125,402691,611320,0,0,0,173,1272,6
113,33594,201.40625,0.32846875,0.17253125,0.32846875,0.04778125,0.92103125,0.54678125,558662,455349,0,0,0,186,1248,3
114,33594,201.40625,0.32846875,0.17253125,0.51559375,0.11015625,0.92103125,0.54678125,402819,611192,0,0,0,200,1320,2
115,33594,201.40625,0.32846875,0.17253125,0.51559375,0.04778125,0.35965625,0.54678125,402702,611309,0,0,0,186,1272,6
116,33594,201.40625,0.32846875,0.17253125,0.51559375,0.04778125,0.92103125,0.73390625,491152,522859,0,0,0,182,1560,1
117,33594,216.71875,0.26609375,0.32846875,0.32846875,0.11015625,0.35965625,0.73390625,681038,332973,0,0,0,179,1296,0
118,42969,201.40625,0.26609375,0.32846875,0.32846875,0.11015625,0.35965625,0.73390625,681067,332944,0,0,0,177,1224,3
119,42969,216.71875,0.32846875,0.32846875,0.32846875,0.11015625,0.35965625,0.73390625,680943,333068,0,0,0,176,1176,3
120,42969,216.71875,0.26609375,0.17253125,0.32846875,0.11015625,0.35965625,0.73390625,681073,332938,0,0,0,186,1176,3
121,42969,216.71875,0.26609375,0.32846875,0.51559375,0.11015625,0.35965625,0.73390625,491278,522733,0,0,0,159,1176,3
122,42969,216.71875,0.26609375,0.32846875,0.32846875,0.04778125,0.35965625,0.73390625,680945,333066,0,0,0,176,1392,0
123,42969,216.71875,0.26609375,0.32846875,0.32846875,0.11015625,0.92103125,0.73390625,680707,333304,0,0,0,181,1200,3
124,42969,216.71875,0.26609375,0.32846875,0.32846875,0.11015625,0.35965625,0.54678125,558662,455349,0,0,0,168,1272,3
125,42969,216.71875,0.26609375,0.32846875,0.32846875,0.11015625,0.35965625,0.73390625,680919,333092,0,0,0,177,1176,3
126,8595,446.40625,0.82746875,0.67153125,0.01659375,0.54678125,0.42203125,0.04778125,71476,942535,0,0,0,129,1272,6
127,17969,446.40625,0.82746875,0.67153125,0.01659375,0.54678125,0.42203125,0.04778125,71458,942553,0,0,0,128,1296,6
128,8595,461.71875,0.82746875,0.67153125,0.01659375,0.54678125,0.42203125,0.04778125,71501,942510,0,0,0,134,1176,5
129,8595,446.40625,0.76509375,0.67153125,0.01659375,0.54678125,0.42203125,0.04778125,71426,942585,0,0,0,131,1176,5
130,8595,446.40625,0.82746875,0.82746875,0.01659375,0.54678125,0.42203125,0.04778125,71460,942551,0,0,0,131,1248,5
131,8595,446.40625,0.82746875,0.67153125,0.82746875,0.54678125,0.42203125,0.04778125,12569,1001442,0,0,0,131,1296,6
132,8595,446.40625,0.82746875,0.67153125,0.01659375,0.60915625,0.42203125,0.04778125,71435,942576,0,0,0,136,1224,5
133,8595,446.40625,0.82746875,0.67153125,0.01659375,0.54678125,0.85865625,0.04778125,71423,942588,0,0,0,131,1200,5
134,8595,446.40625,0.82746875,0.67153125,0.01659375,0.54678125,0.42203125,0.23490625,351396,662615,0,0,0,131,1176,5
135,8595,461.71875,0.76509375,0.82746875,0.82746875,0.60915625,0.85865625,0.23490625,61636,952375,0,0,0,132,1368,6
136,17969,446.40625,0.76509375,0.82746875,0.82746875,0.60915625,0.85865625,0.23490625,61686,952325,0,0,0,127,1152,5
137,17969,461.71875,0.82746875,0.82746875,0.82746875,0.60915625,0.85865625,0.23490625,61650,952361,0,0,0,110,1560,1
138,17969,461.71875,0.76509375,0.67153125,0.82746875,0.60915625,0.85865625,0.23490625,61627,952384,0,0,0,111,1152,5
139,17969,461.71875,0.76509375,0.82746875,0.01659375,0.60915625,0.85865625,0.23490625,351374,662637,0,0,0,126,1320,6
140,17969,461.71875,0.76509375,0.82746875,0.82746875,0.54678125,0.85865625,0.23490625,61608,952403,0,0,0,113,1368,6
141,17969,461.71875,0.76509375,0.82746875,0.82746875,0.60915625,0.42203125,0.23490625,61601,952410,0,0,0,111,1296,6
142,17969,461.71875,0.76509375,0.82746875,0.82746875,0.60915625,0.85865625,0.04778125,12524,1001487,0,0,0,112,1176,5
143,17969,461.71875,0.76509375,0.82746875,0.82746875,0.60915625,0.85865625,0.23490625,61627,952384,0,0,0,113,1200,5
144,11720,48.28125,0.26609375,0.98340625,0.70271875,0.73390625,0.73390625,0.35965625,162684,851327,0,0,0,226,1416,1
145,2345,48.28125,0.26609375,0.98340625,0.70271875,0.73390625,0.73390625,0.35965625,162701,851310,0,0,0,251,1224,2
146,11720,186.09375,0.26609375,0.98340625,0.70271875,0.73390625,0.73390625,0.35965625,162651,851360,0,0,0,157,1200,5
147,11720,48.28125,0.82746875,0.98340625,0.70271875,0.73390625,0.73390625,0.35965625,162599,851412,0,0,0,177,1272,6
148,11720,48.28125,0.26609375,0.88984375,0.70271875,0.73390625,0.73390625,0.35965625,162636,851375,0,0,0,230,1296,2
149,11720,48.28125,0.26609375,0.98340625,0.51559375,0.73390625,0.73390625,0.35965625,264930,749081,0,0,0,231,1272,2
150,11720,48.28125,0.26609375,0.98340625,0.70271875,0.04778125,0.73390625,0.35965625,162590,851421,0,0,0,228,1464,1
151,11720,48.28125,0.26609375,0.98340625,0.70271875,0.73390625,0.17253125,0.35965625,162697,851314,0,0,0,225,1272,2
152,11720,48.28125,0.26609375,0.98340625,0.70271875,0.73390625,0.73390625,0.92103125,301388,712623,0,0,0,229,1176,2
153,11720,186.09375,0.82746875,0.88984375,0.51559375,0.04778125,0.17253125,0.92103125,491095,522916,0,0,0,130,1416,0
154,2345,48.28125,0.82746875,0.88984375,0.51559375,0.04778125,0.17253125,0.92103125,491080,522931,0,0,0,202,1584,1
155,2345,186.09375,0.26609375,0.88984375,0.51559375,0.04778125,0.17253125,0.92103125,491087,522924,0,0,0,181,1344,0
156,2345,186.09375,0.82746875,0.98340625,0.51559375,0.04778125,0.17253125,0.92103125,491229,522782,0,0,0,153,1152,3
157,2345,186.09375,0.82746875,0.88984375,0.70271875,0.04778125,0.17253125,0.92103125,301498,712513,0,0,0,148,1320,6
158,2345,186.09375,0.82746875,0.88984375,0.51559375,0.73390625,0.17253125,0.92103125,491116,522895,0,0,0,138,1200,3
159,2345,186.09375,0.82746875,0.88984375,0.51559375,0.04778125,0.73390625,0.92103125,491244,522767,0,0,0,138,1176,3
160,2345,186.09375,0.82746875,0.88984375,0.51559375,0.04778125,0.17253125,0.35965625,264976,749035,0,0,0,138,1272,6
161,2345,186.09375,0.82746875,0.88984375,0.51559375,0.04778125,0.17253125,0.92103125,491171,522840,0,0,0,157,1248,3
162,36719,293.28125,0.76509375,0.48440625,0.20371875,0.23490625,0.23490625,0.85865625,807523,206488,0,0,0,135,1248,3
163,27344,293.28125,0.76509375,0.48440625,0.20371875,0.23490625,0.23490625,0.85865625,807523,206488,0,0,0,128,1200,3
164,36719,431.09375,0.76509375,0.48440625,0.20371875,0.23490625,0.23490625,0.85865625,807241,206770,0,0,0,114,1128,3
165,36719,293.28125,0.32846875,0.48440625,0.20371875,0.23490625,0.23490625,0.85865625,807241,206770,0,0,0,136,1200,3
166,36719,293.28125,0.76509375,0.39084375,0.20371875,0.23490625,0.23490625,0.85865625,807314,206697,0,0,0,130,1176,3
167,36719,293.28125,0.76509375,0.48440625,0.01659375,0.23490625,0.23490625,0.85865625,997227,16784,0,0,0,131,1224,3
168,36719,293.28125,0.76509375,0.48440625,0.20371875,0.54678125,0.23490625,0.85865625,807322,206689,0,0,0,131,1368,0
169,36719,293.28125,0.76509375,0.48440625,0.20371875,0.23490625,0.67153125,0.85865625,807431,206580,0,0,0,118,1248,3
170,36719,293.28125,0.76509375,0.48440625,0.20371875,0.23490625,0.23490625,0.42203125,511208,502803,0,0,0,131,1176,3
171,36719,431.09375,0.32846875,0.39084375,0.01659375,0.54678125,0.67153125,0.42203125,631205,382806,0,0,0,133,1152,3
172,27344,293.28125,0.32846875,0.39084375,0.01659375,0.54678125,0.67153125,0.42203125,631299,382712,0,0,0,157,1176,3
173,27344,431.09375,0.76509375,0.39084375,0.01659375,0.54678125,0.67153125,0.42203125,631240,382771,0,0,0,130,1440,0
174,27344,431.09375,0.32846875,0.48440625,0.01659375,0.54678125,0.67153125,0.42203125,631241,382770,0,0,0,155,1200,3
175,27344,431.09375,0.32846875,0.39084375,0.20371875,0.54678125,0.67153125,0.42203125,511167,502844,0,0,0,138,1152,3
176,27344,431.09375,0.32846875,0.39084375,0.01659375,0.23490625,0.67153125,0.42203125,631331,382680,0,0,0,153,1152,3
177,27344,431.09375,0.32846875,0.39084375,0.01659375,0.54678125,0.23490625,0.42203125,631321,382690,0,0,0,152,1320,0
178,27344,431.09375,0.32846875,0.39084375,0.01659375,0.54678125,0.67153125,0.85865625,997298,16713,0,0,0,153,1200,3
179,27344,431.09375,0.32846875,0.39084375,0.01659375,0.54678125,0.67153125,0.42203125,631277,382734,0,0,0,136,1152,3
180,49219,170.78125,0.01659375,0.73390625,0.45321875,0.48440625,0.98340625,0.60915625,506831,507180,0,0,0,322,1248,2
181,39844,170.78125,0.01659375,0.73390625,0.45321875,0.48440625,0.98340625,0.60915625,506452,507559,0,0,0,350,1296,4
182,49219,308.59375,0.01659375,0.73390625,0.45321875,0.48440625,0.98340625,0.60915625,506711,507300,0,0,0,271,1368,0
183,49219,170.78125,0.07896875,0.73390625,0.45321875,0.48440625,0.98340625,0.60915625,506670,507341,0,0,0,226,1224,2
184,49219,170.78125,0.01659375,0.14134375,0.45321875,0.48440625,0.98340625,0.60915625,506697,507314,0,0,0,431,1560,4
185,49219,170.78125,0.01659375,0.73390625,0.76509375,0.48440625,0.98340625,0.60915625,217874,796137,0,0,0,327,1416,4
186,49219,170.78125,0.01659375,0.73390625,0.45321875,0.29728125,0.98340625,0.60915625,506456,507555,0,0,0,323,1296,2
187,49219,170.78125,0.01659375,0.73390625,0.45321875,0.48440625,0.92103125,0.60915625,506797,507214,0,0,0,305,1320,2
188,49219,170.78125,0.01659375,0.73390625,0.45321875,0.48440625,0.98340625,0.67153125,554379,459632,0,0,0,304,1272,2
189,49219,308.59375,0.07896875,0.14134375,0.76509375,0.29728125,0.92103125,0.67153125,238241,775770,0,0,0,258,1320,2
190,39844,170.78125,0.07896875,0.14134375,0.76509375,0.29728125,0.92103125,0.67153125,238147,775864,0,0,0,325,1320,2
191,39844,308.59375,0.01659375,0.14134375,0.76509375,0.29728125,0.92103125,0.67153125,238195,775816,0,0,0,379,1392,4
192,39844,308.59375,0.07896875,0.73390625,0.76509375,0.29728125,0.92103125,0.67153125,238308,775703,0,0,0,181,1224,5
193,39844,308.59375,0.07896875,0.14134375,0.45321875,0.29728125,0.92103125,0.67153125,554634,459377,0,0,0,248,1296,0
194,39844,308.59375,0.07896875,0.14134375,0.76509375,0.48440625,0.92103125,0.67153125,238351,775660,0,0,0,272,1368,2
195,39844,308.59375,0.07896875,0.14134375,0.76509375,0.29728125,0.98340625,0.67153125,238359,775652,0,0,0,274,1296,2
196,39844,308.59375,0.07896875,0.14134375,0.76509375,0.29728125,0.92103125,0.60915625,217666,796345,0,0,0,262,1440,1
197,39844,308.59375,0.07896875,0.14134375,0.76509375,0.29728125,0.92103125,0.67153125,238286,775725,0,0,0,252,1368,2
198,24219,415.78125,0.51559375,0.23490625,0.95221875,0.98340625,0.48440625,0.11015625,8056,1005955,0,0,0,154,1152,5
199,14844,415.78125,0.51559375,0.23490625,0.95221875,0.98340625,0.48440625,0.11015625,7984,1006027,0,0,0,159,1368,6
200,24219,63.59375,0.51559375,0.23490625,0.95221875,0.98340625,0.48440625,0.11015625,8007,1006004,0,0,0,228,1344,2
201,24219,415.78125,0.57796875,0.23490625,0.95221875,0.98340625,0.48440625,0.11015625,8041,1005970,0,0,0,155,1176,5
202,24219,415.78125,0.51559375,0.64034375,0.95221875,0.98340625,0.48440625,0.11015625,8005,1006006,0,0,0,135,1344,6
203,24219,415.78125,0.51559375,0.23490625,0.26609375,0.98340625,0.48440625,0.11015625,122956,891055,0,0,0,156,1344,6
204,24219,415.78125,0.51559375,0.23490625,0.95221875,0.79628125,0.48440625,0.11015625,8006,1006005,0,0,0,154,1248,5
205,24219,415.78125,0.51559375,0.23490625,0.95221875,0.98340625,0.42203125,0.11015625,8028,1005983,0,0,0,153,1176,5
206,24219,415.78125,0.51559375,0.23490625,0.95221875,0.98340625,0.48440625,0.17253125,12535,1001476,0,0,0,154,1488,1
207,24219,63.59375,0.57796875,0.64034375,0.26609375,0.79628125,0.42203125,0.17253125,192630,821381,0,0,0,178,1272,6
208,14844,415.78125,0.57796875,0.64034375,0.26609375,0.79628125,0.42203125,0.17253125,192632,821379,0,0,0,131,1272,6
209,14844,63.59375,0.51559375,0.64034375,0.26609375,0.79628125,0.42203125,0.17253125,192544,821467,0,0,0,179,1128,5
210,14844,63.59375,0.57796875,0.23490625,0.26609375,0.79628125,0.42203125,0.17253125,192594,821417,0,0,0,225,1368,2
211,14844,63.59375,0.57796875,0.64034375,0.95221875,0.79628125,0.42203125,0.17253125,12512,1001499,0,0,0,180,1296,6
